Merchant Id,Transaction Type,Merchant Order Id,Merchant Reference Id,PhonePe Reference Id,Transaction UTR,Total Transaction Amount,Transaction Date,Transaction Status,UPI Amount,Wallet Amount,Credit card Amount,Debit card Amount,External Wallet Amount,EGV Amount,Store Id,Terminal Id,Store Name,Terminal Name,Instrument,RRN
M23QCXQVG8XBL,FORWARD_TRANSACTION,,ICI04ae1debc0c94dd2ad12af20a6906369,T2608151722507778323550,659301761820,100.0,2026-08-15 17:22:50,COMPLETED,100.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,PTM3105927A6EC149778958D32690A51F2A,T2608151720049520659574,213277110218,1100.0,2026-08-15 17:20:05,COMPLETED,1100.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608151655017029254390,AC222608151655077450642098,T2608151655077499726351,051587237591,500.0,2026-08-15 16:55:10,COMPLETED,500.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,PTMEB959D4936814D9D88581F2AD0E6D6FB,T2608151644337731325576,622725395981,1000.0,2026-08-15 16:44:33,COMPLETED,1000.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,ICI8feec5f2eb1d461e9fd7459ff2658953,T2608151627404417607433,659343249160,1001.0,2026-08-15 16:27:40,COMPLETED,1001.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608142031577288198194,AC222608142031593594856938,T2608142031593658535489,838057408110,1.0,2026-08-14 20:32:01,COMPLETED,1.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,RCC,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,NEF5029d45fcb3d4388a9311afdf4152d2e,T2608142031554366889386,622654296735,1.0,2026-08-14 20:31:55,COMPLETED,1.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,,NEFd3f4c88f51384993a7a675a0bd0e6e73,T2608142031031717775358,622614446619,1.0,2026-08-14 20:31:03,COMPLETED,1.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608142030165299650658,AC222608142030192592256788,T2608142030192643215318,646941807856,1.0,2026-08-14 20:30:21,COMPLETED,1.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,RCC,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608141952372864528921,AC222608141952393933706146,T2608141952394014210547,665802841214,1.0,2026-08-14 19:52:42,ERRORED,1.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,RCC,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608141948551564898901,AC222608141949047610305701,T2608141949047660939194,059030971579,1.0,2026-08-14 19:49:07,ERRORED,1.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,UPI,
M23QCXQVG8XBL,FORWARD_TRANSACTION,TXSCAN2608141948327505090965,AC222608141948352508089589,T2608141948352568051783,177464721348,1.0,2026-08-14 19:48:37,ERRORED,1.0,,,,,,MS2604151300332429781886,MST2604151738163549185100,More Than Me,Terminal 3,RCC,
